timestamp,cpu_utility_pct,memory_in_use_pct,disk_active_time_pct,virtual_memory_pct,process_count,disk_queue_length
2026-04-13T16:46:48.011Z,28.71,79.49,0.00,0.00,319,0.00
2026-04-13T16:46:50.011Z,12.73,79.59,0.00,0.00,319,0.00
2026-04-13T16:46:52.012Z,11.43,79.55,0.00,0.00,318,0.00
2026-04-13T16:46:54.022Z,12.78,79.59,0.00,0.00,319,0.00
2026-04-13T16:46:56.028Z,18.15,79.77,0.00,0.00,319,0.00
2026-04-13T16:46:58.031Z,12.61,79.80,0.00,0.00,319,0.00
2026-04-13T16:47:00.045Z,11.79,79.80,0.00,0.00,319,0.00
2026-04-13T16:47:02.052Z,14.99,80.22,0.00,0.00,313,0.00
2026-04-13T16:47:04.062Z,18.91,79.90,0.00,0.00,312,0.00
2026-04-13T16:47:06.065Z,13.03,79.89,0.00,0.00,312,0.00
2026-04-13T16:47:08.075Z,12.77,79.75,0.00,0.00,312,0.00
2026-04-13T16:47:10.078Z,8.87,79.89,0.00,0.00,312,0.00
2026-04-13T16:47:12.078Z,11.67,79.88,0.00,0.00,312,0.00
2026-04-13T16:47:14.080Z,11.51,79.88,0.00,0.00,312,0.00
2026-04-13T16:47:16.095Z,14.74,79.95,0.00,0.00,312,0.00
2026-04-13T16:47:18.103Z,22.95,80.15,0.00,0.00,312,0.00
2026-04-13T16:47:20.118Z,11.91,79.67,0.00,0.00,312,0.00
2026-04-13T16:47:22.133Z,12.82,79.59,0.00,0.00,311,0.00
2026-04-13T16:47:24.145Z,18.67,80.01,0.00,0.00,313,0.00
2026-04-13T16:47:26.158Z,13.84,79.93,0.00,0.00,313,0.00
2026-04-13T16:47:28.159Z,10.04,79.96,0.00,0.00,312,0.00
2026-04-13T16:47:30.171Z,9.20,80.00,0.00,0.00,312,0.00
2026-04-13T16:47:32.176Z,9.06,79.99,0.00,0.00,310,0.00
2026-04-13T16:47:34.179Z,12.35,80.02,0.00,0.00,310,0.00
2026-04-13T16:47:36.186Z,9.94,80.13,0.00,0.00,310,0.00
2026-04-13T16:47:38.195Z,13.58,80.20,0.00,0.00,310,0.00
2026-04-13T16:47:40.206Z,15.74,78.04,0.00,0.00,310,0.00
2026-04-13T16:47:42.209Z,18.51,77.26,0.00,0.00,310,0.00
2026-04-13T16:47:44.215Z,16.73,76.68,0.00,0.00,310,0.00
2026-04-13T16:47:46.231Z,10.05,76.64,0.00,0.00,310,0.00
2026-04-13T16:47:48.231Z,11.16,76.54,0.00,0.00,310,0.00
2026-04-13T16:47:50.237Z,13.50,76.53,0.00,0.00,310,0.00
2026-04-13T16:47:52.238Z,12.39,76.69,0.00,0.00,310,0.00
2026-04-13T16:47:54.254Z,9.24,76.70,0.00,0.00,310,0.00
2026-04-13T16:47:56.253Z,12.04,76.77,0.00,0.00,310,0.00
2026-04-13T16:47:58.267Z,9.86,76.75,0.00,0.00,310,0.00
2026-04-13T16:48:00.275Z,11.47,76.72,0.00,0.00,310,0.00
2026-04-13T16:48:02.282Z,14.75,76.91,0.00,0.00,313,0.00
2026-04-13T16:48:04.286Z,19.11,76.88,0.00,0.00,312,0.00
2026-04-13T16:48:06.298Z,24.93,77.33,0.00,0.00,314,0.00
2026-04-13T16:48:08.299Z,19.40,77.25,0.00,0.20,314,0.00
2026-04-13T16:48:10.302Z,15.60,77.36,0.00,0.20,313,0.00
2026-04-13T16:48:12.314Z,11.25,77.42,0.00,0.20,313,0.00
2026-04-13T16:48:14.318Z,9.51,77.36,0.00,0.20,314,0.00
2026-04-13T16:48:16.324Z,16.94,77.79,0.00,0.20,314,0.00
2026-04-13T16:48:18.329Z,14.53,77.72,0.00,0.20,315,0.00
2026-04-13T16:48:20.334Z,20.32,77.70,0.00,0.20,315,0.00
2026-04-13T16:48:22.336Z,14.22,77.80,0.00,0.20,315,0.00
2026-04-13T16:48:24.350Z,11.98,77.71,0.00,0.20,315,0.00
2026-04-13T16:48:26.359Z,11.86,77.71,0.00,0.20,315,0.00
2026-04-13T16:48:28.369Z,11.94,77.63,0.00,0.20,315,0.00
2026-04-13T16:48:30.373Z,22.85,77.81,0.00,0.20,322,0.00
2026-04-13T16:48:32.372Z,28.53,77.92,0.00,0.20,316,0.00
2026-04-13T16:48:34.383Z,33.04,78.15,0.00,0.20,316,0.00
2026-04-13T16:48:36.388Z,21.88,78.33,0.00,0.20,315,0.00
2026-04-13T16:48:38.393Z,18.03,78.39,0.00,0.20,315,0.00
2026-04-13T16:48:40.406Z,19.62,78.27,0.00,0.20,315,0.00
2026-04-13T16:48:42.409Z,15.78,78.30,0.00,0.20,315,0.00
2026-04-13T16:48:44.415Z,26.54,78.48,0.00,0.20,314,0.00
2026-04-13T16:48:46.422Z,20.50,77.70,0.00,0.20,314,0.00
2026-04-13T16:48:48.430Z,20.37,77.81,0.00,0.20,314,0.00
2026-04-13T16:48:50.440Z,23.93,77.86,0.00,0.20,314,0.00
2026-04-13T16:48:52.445Z,22.23,77.90,0.00,0.20,314,0.00
2026-04-13T16:48:54.452Z,22.70,78.01,0.00,0.20,314,0.00
2026-04-13T16:48:56.458Z,24.32,77.98,0.00,0.20,314,0.00
2026-04-13T16:48:58.470Z,19.72,78.07,0.00,0.20,314,0.00
2026-04-13T16:49:00.476Z,23.62,78.08,0.00,0.20,314,0.00
2026-04-13T16:49:02.487Z,21.85,78.13,0.00,0.20,314,0.00
2026-04-13T16:49:04.502Z,19.75,78.04,0.00,0.20,313,0.00
2026-04-13T16:49:06.511Z,23.65,78.11,0.00,0.20,313,0.00
2026-04-13T16:49:08.513Z,21.41,78.15,0.00,0.20,313,0.00
2026-04-13T16:49:10.521Z,22.82,78.27,0.00,0.20,313,0.00
2026-04-13T16:49:12.536Z,24.27,78.31,0.00,0.20,313,0.00
2026-04-13T16:49:14.538Z,20.87,78.33,0.00,0.20,313,0.00
2026-04-13T16:49:16.543Z,20.74,78.44,0.00,0.20,313,0.00
2026-04-13T16:49:18.547Z,23.16,78.49,0.00,0.20,313,0.00
2026-04-13T16:49:20.557Z,22.06,78.48,0.00,0.20,313,0.00
2026-04-13T16:49:22.567Z,29.85,78.60,0.00,0.17,314,0.00
2026-04-13T16:49:24.570Z,27.81,78.78,0.00,0.17,314,0.00
2026-04-13T16:49:26.572Z,24.64,78.88,0.00,0.17,314,0.00
2026-04-13T16:49:28.580Z,36.88,79.46,0.00,0.19,314,0.00
